doc_id,title,type,section,source_type,source,url,text_chars,title_in_text,warnings
artist_madonna,Madonna,artist,artists,external,rockhall.com,https://www.rockhall.com/inductees/madonna,2509,True,
artist_nelly_furtado,Nelly Furtado,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Nelly_Furtado,24326,True,
artist_christina_aguilera,Christina Aguilera,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Christina_Aguilera,57222,True,
artist_katy_perry,Katy Perry,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Katy_Perry,66648,True,
artist_abba,ABBA,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/ABBA,79783,True,
artist_6lack,6LACK,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/6lack,7010,True,
artist_jessie_reyez,Jessie Reyez,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Jessie_Reyez,7506,False,title_not_in_text
artist_bryson_tiller,Bryson Tiller,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Bryson_Tiller,11811,True,
artist_james_blake,James Blake,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/James_Blake_(musician),17721,True,
artist_pinkpantheress,PinkPantheress,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/PinkPantheress,15280,True,
artist_bruno_mars,Bruno Mars,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Bruno_Mars,60191,True,
artist_alicia_keys,Alicia Keys,artist,artists,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Alicia_Keys,76098,True,
album_ok_computer,OK Computer,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/OK_Computer,56688,True,
album_in_rainbows,In Rainbows,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/In_Rainbows,38406,True,
album_am,AM,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/AM_(Arctic_Monkeys_album),14927,True,
album_nevermind,Nevermind,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Nevermind,36227,True,
album_ten,Ten,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Ten_(Pearl_Jam_album),27423,True,
album_the_colour_and_the_shape,The Colour and the Shape,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/The_Colour_and_the_Shape,22605,True,
album_californication,Californication,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Californication_(album),22231,True,
album_disintegration,Disintegration,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Disintegration_(The_Cure_album),23148,True,
album_the_dark_side_of_the_moon,The Dark Side of the Moon,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,41241,True,
album_currents,Currents,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Currents_(album),21639,True,
album_to_pimp_a_butterfly,To Pimp a Butterfly,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/To_Pimp_a_Butterfly,28731,True,
album_good_kid_m_a_a_d_city,"good kid, m.A.A.d city",album,albums,wikipedia,Wikipedia,"https://en.wikipedia.org/wiki/Good_Kid,_M.A.A.D_City",23137,True,
album_the_college_dropout,The College Dropout,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/The_College_Dropout,26920,True,
